[A._K._Hangal 	 ### 	 no match 	 ### 	 Hinduism
Aadhi_ 	 ### 	 Twinkle Khanna  	 ### 	 Hinduism
Aadi_ 	 ### 	 no match 	 ### 	 no match
Aamir_Khan 	 ### 	 1st Wife: Reena Dutta 2nd Wife: Kiran Rao 	 ### 	 Islam
Aashish_Chaudhary 	 ### 	 no match 	 ### 	 no match
Abbas_ 	 ### 	 no match 	 ### 	 Islam
Abhay_Deol 	 ### 	 N/A 	 ### 	 Sikhism
Abhijeeth 	 ### 	 Sumati Bhattacharya 	 ### 	 Hindu
Abhishek_Bachchan 	 ### 	 Aishwarya Rai, Actress  	 ### 	 Hindu
Abhimanyu_Singh 	 ### 	 no match 	 ### 	 no match
Abijeet_Duddala 	 ### 	 Sumati Bhattacharya 	 ### 	 Hindu
Achyuth_Kumar 	 ### 	 no match 	 ### 	 no match
Adharvaa 	 ### 	 Aishwarya R. Dhanush  	 ### 	 Hinduism
Adhyayan_Suman 	 ### 	 no match 	 ### 	 Hindu
Adil_Hussain 	 ### 	 Kristen Jain 	 ### 	 Islam
Adithya 	 ### 	 N/A 	 ### 	 Hindu
Aditya_Babu 	 ### 	 no match 	 ### 	 no match
Aditya_Pancholi 	 ### 	 Zarina Wahab  	 ### 	 Hindu
Aditya_Roy_Kapur 	 ### 	 N/A 	 ### 	 Hindu
Adoor_Bhasi 	 ### 	 no match 	 ### 	 no match
Aftab_Shivdasani 	 ### 	 Nin Dusanj 	 ### 	 Hindu
Ahuti_Prasad 	 ### 	 no match 	 ### 	 no match
Ajay_Devgan 	 ### 	 Kajol, Actress  	 ### 	 Hindu
Ajay_Sinh_Rathod 	 ### 	 no match 	 ### 	 no match
Ajay_Rao 	 ### 	 Sapna 	 ### 	 Hinduism
Ajaz_Khan 	 ### 	 Andrea 	 ### 	 Islam
Ajinkya_Dev 	 ### 	 no match 	 ### 	 Hindu
Ajit_Khan 	 ### 	 no match 	 ### 	 no match
Ajith_Kumar 	 ### 	 Shalini Ajith  	 ### 	 Hinduism
Ajmal_Ameer 	 ### 	 Narjis Khatun  	 ### 	 Islam
Aju_Varghese 	 ### 	 Augustina 	 ### 	 Christian
Akshay_Anand 	 ### 	 no match 	 ### 	 no match
Akshay_Kumar 	 ### 	 Twinkle Khanna  	 ### 	 Hinduism
Akshaye_Khanna 	 ### 	 N/A 	 ### 	 Hinduism
Akul_Balaji 	 ### 	 no match 	 ### 	 no match
Ali_ 	 ### 	 no match 	 ### 	 Islam
Allari_Naresh 	 ### 	 Virupa Kantamneni  	 ### 	 Hinduism
Allu_Arjun 	 ### 	 Sneha Reddy 	 ### 	 Hindu
Allu_Sirish 	 ### 	 Sneha Reddy 	 ### 	 Hindu
Alok_Nath 	 ### 	 no match 	 ### 	 no match
Amar_Talwar 	 ### 	 no match 	 ### 	 no match
Ambareesh 	 ### 	 no match 	 ### 	 no match
Amitabh_Bachchan 	 ### 	 Jaya Bhaduri Bachchan, Indian Politician & Former Indian Actress 	 ### 	 Hinduism
Amjad_Khan_ 	 ### 	 N/A 	 ### 	 Hinduism
Amol_Palekar 	 ### 	 no match 	 ### 	 Islam
Amrish_Puri 	 ### 	 no match 	 ### 	 no match
Ananth_Nag 	 ### 	 no match 	 ### 	 Hindu
Anil_Kapoor 	 ### 	 Sunita Kapoor 	 ### 	 Hindu
Anjan_Srivastav 	 ### 	 no match 	 ### 	 no match
Ankush_Hazra 	 ### 	 no match 	 ### 	 no match
Annu_Kapoor 	 ### 	 Anupama Arunita  	 ### 	 Hindu
Anoop_Kumar 	 ### 	 N/A 	 ### 	 Hindu
Anoop_Menon 	 ### 	 no match 	 ### 	 no match
Anubhav_Mohanty 	 ### 	 no match 	 ### 	 no match
Anuj_Gurwara 	 ### 	 no match 	 ### 	 no match
Anupam_Kher 	 ### 	 Ex-wife MadhumalatiKirron Kher  	 ### 	 Hinduism
Aravind_Akash 	 ### 	 no match 	 ### 	 no match
Arbaaz_Khan_ 	 ### 	 no match 	 ### 	 no match
Arif_Zakaria 	 ### 	 no match 	 ### 	 no match
Arjun_Kapoor 	 ### 	 N/A 	 ### 	 Hinduism
Arjun_Mathur 	 ### 	 no match 	 ### 	 no match
Arjun_Rampal 	 ### 	 Mehr Jesia, Model  	 ### 	 Hindu
Arjun_Sarja 	 ### 	 no match 	 ### 	 Hindu
Arshad_Warsi 	 ### 	 Maria Goretti   	 ### 	 Islam
Arun_Sarnaik 	 ### 	 no match 	 ### 	 no match
Arunoday_Singh 	 ### 	 Lee Elton  	 ### 	 Hindu
Arvind_Krishna 	 ### 	 no match 	 ### 	 no match
Arvind_Swamy 	 ### 	 Shailaja Balakrishnan 	 ### 	 Christian 
Arya_Babbar 	 ### 	 Jasmine Puri 	 ### 	 Sikhism
Arya_ 	 ### 	 N/A 	 ### 	 Islam
Asif_Ali_ 	 ### 	 Zama Mazreen 	 ### 	 Islam
Ashish_Vidyarthi 	 ### 	 no match 	 ### 	 no match
Ashok_ 	 ### 	 Priya Sudeep  	 ### 	 Hinduism
Ashok_Kumar 	 ### 	 no match 	 ### 	 no match
K._S._Ashwath 	 ### 	 Koel Roy Singh  	 ### 	 Hindu
Asrani 	 ### 	 no match 	 ### 	 Hindu
Ashok_Saraf 	 ### 	 N/A 	 ### 	 Hindu
Ashok_Selvan 	 ### 	 N/A 	 ### 	 Hinduism
Atul_Agnihotri 	 ### 	 no match 	 ### 	 no match
